water_content_percent,replicate,wavelength_nm,reflectance
0,1,189.855,46.538251
0,2,189.855,-13.960844
0,3,189.855,-83.098042
0,4,189.855,241.25402
0,5,189.855,75.907353
0,6,189.855,46.538251
0,7,189.855,-83.098042
0,8,189.855,241.25402
0,1,190.322,68.010778
0,2,190.322,27.234441
0,3,190.322,-216.05245
0,4,190.322,516.76044
0,5,190.322,68.594562
0,6,190.322,68.010778
0,7,190.322,-216.05245
0,8,190.322,516.76044
0,1,190.789,87.356133
0,2,190.789,32.185322
0,3,190.789,-4219.9211
0,4,190.789,5196.2492
0,5,190.789,56.683513
0,6,190.789,56.683513
0,7,190.789,-4219.9211
0,8,190.789,5196.2492
0,1,191.256,134.91872
0,2,191.256,30.925281
0,3,191.256,218.14112
0,4,191.256,-9.0704192
0,5,191.256,67.813608
0,6,191.256,67.813608
0,7,191.256,-9.0704192
0,8,191.256,218.14112
0,1,191.723,185.52767
0,2,191.723,68.650757
0,3,191.723,124.7802
0,4,191.723,43.21093
0,5,191.723,74.142042
0,6,191.723,74.142042
0,7,191.723,43.21093
0,8,191.723,185.52767
0,1,192.19,463.54243
0,2,192.19,-222.81541
0,3,192.19,138.83553
0,4,192.19,88.259124
0,5,192.19,-84.2138
0,6,192.19,88.259124
0,7,192.19,-222.81541
0,8,192.19,463.54243
0,1,192.657,1.8243765
0,2,192.657,113.60288
0,3,192.657,140.42136
0,4,192.657,124.88915
0,5,192.657,33.756849
0,6,192.657,113.60288
0,7,192.657,1.8243765
0,8,192.657,140.42136
0,1,193.124,-16.416388
0,2,193.124,735.92423
0,3,193.124,142.53465
0,4,193.124,157.65235
0,5,193.124,-219.42456
0,6,193.124,142.53465
0,7,193.124,-219.42456
0,8,193.124,735.92423
0,1,193.591,183.49826
0,2,193.591,268.41262
0,3,193.591,137.11907
0,4,193.591,104.33528
0,5,193.591,291.82371
0,6,193.591,183.49826
0,7,193.591,104.33528
0,8,193.591,291.82371
0,1,194.058,96.345363
0,2,194.058,223.5438
0,3,194.058,83.556726
0,4,194.058,59.177628
0,5,194.058,103.46936
0,6,194.058,96.345363
0,7,194.058,59.177628
0,8,194.058,223.5438
0,1,194.525,67.006958
0,2,194.525,76.829033
0,3,194.525,29.921181
0,4,194.525,15.086011
0,5,194.525,367.09399
0,6,194.525,67.006958
0,7,194.525,15.086011
0,8,194.525,367.09399
0,1,194.992,77.568775
0,2,194.992,83.170415
0,3,194.992,-178.34027
0,4,194.992,-94.108939
0,5,194.992,-142.7343
0,6,194.992,-94.108939
0,7,194.992,-178.34027
0,8,194.992,83.170415
0,1,195.458,72.548954
0,2,195.458,2.2800155
0,3,195.458,-24.717784
0,4,195.458,-56.406509
0,5,195.458,-271.34333
0,6,195.458,-24.717784
0,7,195.458,-271.34333
0,8,195.458,72.548954
0,1,195.925,86.619396
0,2,195.925,-26.694441
0,3,195.925,117.76787
0,4,195.925,120.5309
0,5,195.925,-301.29368
0,6,195.925,86.619396
0,7,195.925,-301.29368
0,8,195.925,120.5309
0,1,196.392,150.32346
0,2,196.392,-159.75587
0,3,196.392,43.758143
0,4,196.392,21.661952
0,5,196.392,-25.18811
0,6,196.392,21.661952
0,7,196.392,-159.75587
0,8,196.392,150.32346
0,1,196.858,40.875292
0,2,196.858,-664.40626
0,3,196.858,50.847387
0,4,196.858,47.039768
0,5,196.858,7.063202
0,6,196.858,40.875292
0,7,196.858,-664.40626
0,8,196.858,50.847387
0,1,197.325,125.66954
0,2,197.325,162.48419
0,3,197.325,14.760761
0,4,197.325,51.081495
